title,premiered,image_url,studios,type,rating,score,scored by,rank,popularity,members,favorites,genres
0,,https://cdn.myanimelist.net/images/anime/6/54815.jpg,Minakata Laboratory,Music,G - All Ages,4.8,1520,9903,7399,2658,2,Music;
100%,,https://cdn.myanimelist.net/images/anime/4/17650.jpg,Nippon Animation,OVA,R+ - Mild Nudity,5.68,141,8676,10633,638,0,Drama;
#Compass,,https://cdn.myanimelist.net/images/anime/1392/95935.jpg,TMS Entertainment,ONA,G - All Ages,,,10125,13633,201,0,Game;
.hack//G.U. Returner,,https://cdn.myanimelist.net/images/anime/11/23181.jpg,Bee Train,OVA,PG-13 - Teens 13 or older,6.77,7997,4508,3364,18626,38,Magic;Adventure;Fantasy;Game;Sci-Fi;Drama;
.hack//G.U. Trilogy,,https://cdn.myanimelist.net/images/anime/4/23083.jpg,CyberConnect2,Movie,PG-13 - Teens 13 or older,7.18,12763,2847,2738,27760,114,Action;Fantasy;Game;Sci-Fi;
.hack//Gift,,https://cdn.myanimelist.net/images/anime/2/23085.jpg,Bee Train,OVA,R+ - Mild Nudity,6.19,8645,7171,3409,18222,25,Comedy;Fantasy;Game;
.hack//Intermezzo,,https://cdn.myanimelist.net/images/anime/12/66499.jpg,Bee Train,Special,PG-13 - Teens 13 or older,6.59,9829,5355,3240,20111,13,Adventure;Fantasy;Game;Magic;Mystery;Sci-Fi;
.hack//Liminality,,https://cdn.myanimelist.net/images/anime/7/23079.jpg,Bee Train,OVA,PG-13 - Teens 13 or older,6.63,14453,5168,2676,28969,37,Game;Mystery;Sci-Fi;
.hack//Quantum,,https://cdn.myanimelist.net/images/anime/5/28371.jpg,Kinema Citrus,OVA,PG-13 - Teens 13 or older,7.22,17028,2684,2430,34263,76,Action;Adventure;Fantasy;Game;Sci-Fi;
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,,https://cdn.myanimelist.net/images/anime/4/29050.jpg,Kinema Citrus,Special,PG-13 - Teens 13 or older,6.51,1884,5733,5165,6796,4,Game;Comedy;
.hack//Roots,Spring 2006,https://cdn.myanimelist.net/images/anime/3/13050.jpg,Bee Train,TV,PG-13 - Teens 13 or older,6.95,28995,3796,1653,62925,273,Adventure;Drama;Fantasy;Game;Sci-Fi;
